# hist, value,Bin
p_10000.png,0.111045868,15
p_10000.png,0.101626208,16
p_10000.png,0.080827645,17
p_10000.png,0.065700293,18
p_10000.png,0.226548734,19
p_10000.png,0.11348576,20
p_10000.png,0.115762613,21
p_10000.png,0.148349623,22
p_10000.png,0.115781355,23
p_10000.png,0.112620292,24
p_10000.png,0.135856972,25
p_10000.png,0.156193709,26
p_10000.png,0.095507952,27
p_10000.png,0.188530628,28
p_10000.png,0.171468998,29
p_10000.png,0.158815605,30
p_10000.png,0.144705924,31
p_10000.png,0.190801269,32
p_10000.png,0.19893184,33
p_10000.png,0.226548734,34
p_10000.png,0.191317122,35
p_10000.png,0.170077035,36
